,Val_Accuracy,Train_Accuracy,Val_Loss,Train_Loss
0,0.755374014377594,1.0,0.8615297675132751,0.15730616450309753
1,0.7871882915496826,1.0,0.7489264011383057,0.15876305103302002
2,0.8598452210426331,1.0,0.6214599013328552,0.14449921250343323
3,0.8594152927398682,1.0,0.5638359785079956,0.1331454962491989
4,0.8811264038085938,0.9989275932312012,0.5277817249298096,0.12837755680084229
5,0.8940240740776062,1.0,0.48332297801971436,0.13277843594551086
6,0.9116508960723877,1.0,0.4011613428592682,0.124076247215271
7,0.9277729988098145,1.0,0.38007932901382446,0.11748537421226501
8,0.9277729988098145,1.0,0.3326491713523865,0.10914352536201477
9,0.9391659498214722,0.9997318983078003,0.31610527634620667,0.10748855024576187
