,Val_Accuracy,Train_Accuracy,Val_Loss,Train_Loss
0,0.9030524492263794,1.0,0.43897193670272827,0.09749425202608109
1,0.9215391278266907,1.0,0.36544954776763916,0.10020680725574493
2,0.9271281361579895,1.0,0.3187704086303711,0.09823701530694962
3,0.934651792049408,1.0,0.30201256275177,0.09533211588859558
4,0.9426053166389465,1.0,0.28921619057655334,0.09020183980464935
5,0.9443250298500061,1.0,0.3065715730190277,0.0916689857840538
6,0.9507738351821899,1.0,0.28101611137390137,0.08373665809631348
7,0.9512037634849548,1.0,0.26600226759910583,0.08483297377824783
8,0.9542132616043091,1.0,0.25338518619537354,0.07682393491268158
9,0.9544281959533691,1.0,0.25165992975234985,0.07845932245254517
